,0
390,แป้งคัสตราด
391,น้ำมันหอย  
392,เส้นโซเม็ง
393,กระดูกเล้ง
394,ผักคะน้า
395,เนื้อลิ้นจี่สด
396,น้ำจิ้มปอเปี๊ยะทอด
397,น้ำตาลปัี๊บ
398,ใบชะมวงอ่อน
399,ข้าวสารเก่า
400,เกล็ดขนมปัง
401,ไข่แดงเค็มดิบ
402,พัวข่า อ่อน
403,ปลาสลิด
404,น้ำมะพร้าว
405,ลูกชิ้นปลา
406,น้ำแดง
407,ไข่เป็ด
408,บะหมี่
409,น้ำ 
410,ดอกไม้จีนแห้ง
411,ยอดชะอม
412,ข้าวหุงสุก
413,กะเทียมสด
414,กะหล่ำปลี
415,มะม่วงแก้วดิบ
416,น้ำพริกแกง  
417,เนื้อฟักทอง
418,เห็ดฟาง
419,ใบยอ
420,น้ำแข็ง
421,พุตทราจีน
422,พริกหนุ่ม
423,อ้อย
424,ดอกงิ้วแห้ง
425,กุยช่ายขาว
426,น้ำมันสำหรับทอดไข่
427,คึ้นฉ่าย
428,พริกชี้หนู
429,เม็ดข้าวโพด
430,มะระพอคำ
431,เนื้อขนุนดิบ
432,ขิงดอง
433,มะนาว  
434,รากผัก
435,เครื่องแกงเผ็ดเจ
436,ผิวมะกรูด
437,พริกไทยสด
438,เนื้อส้มโอ
439,มะม่วงน้ำดอกไม้สุก
440,หมูยอเป็นชิ้น
441,ไส้กรอก
442,หอมหัวใหญ่
443,หอม
444,ซีอิ่วขาว
445,ขากบ
446,ถั่วเขียวผ่าสีซีก
447,พริกแกงเขียวหวาน
448,น้ำเชื่อม
449,น้ำหวานสีแดง
450,น้ำมันสำหรับทอดปลา
451,ผลฝรั่ง
452,ไม้จิ้มฟัน
453,น้ำซุปปลาแห้งญี่ปุ่น
454,ส้มแขก
455,ไข่ไก่  
456,ต้นหอมญี่ปุ่น
457,ไส้ดิบ
458,ขมิ้นขาว
459,มะม่วงดิบ
460,เห็ดหอม
461,ใบโพระพา
462,ทุเรียน
463,สายบัว
464,น้ำซุปกระะดูกหมู
465,พริกไทยเม็ด
466,แป้งหมี่
467,โคชูจัง
468,ขนุน
469,น่ำซุป
470,มิริน
471,ต้นข่า อ่อนเป็นท่อน
472,ต้นกระเทียม
473,ขิงอ่อนละเอียด
474,หอยหลอด
475,กระหล่ำปี
476,ซอสพริก
477,ใบมะดันอ่อน
478,คอหมู
479,ขิงอ่อน
480,หอยลาย
481,กล้วยน้ำว้าสุก
482,เส้นหมี่ซั่ว
483,ต้นใบเตย
484,เห็ด
485,ใบผักชี
486,มะละกอ
487,เนื้อปลาซาบะ
488,หน่อไม้
489,ขึ้นฉ่าย
490,ผลองุ่นม่วง
491,ผงปรุงรส
492,ซอสทาริยากิ
493,ขมิ้น
494,ใบสะเดา
495,กล้วยไข่
496,ผลตาลสุก
497,กล้วยน้ำหว้า
498,เส้นก๋วยจั๊บ
499,ดอกกะหล่ำ
500,ขึ้นฉ่าย 
501,ซีอิ้วชาว
502,เหล้าสาเก
503,เนื้อปลาบึก
504,โคนต้นหอมญี่ปุ่น
505,ผักชี
506,นม  
507,ใบกุยฉ่าย
508,มะละกอดิบ
509,มายองเนส
510,พริกกะเหรียง
511,กรรเชียงปู
512,ใบมะขามอ่อน
513,พริกหยวกสีแดงกับสีเขียว
514,หมูสับ
515,สับปะรด
516,ไข่เค็ม
517,มะม่วงสุก
518,พริกไทยแห้ง
519,พริกแกงมัสมั่น
520,เนื้อปลาหั้นพอคำ
521,โปรตีนเกษตรแผ่น
522,ถ้วยแป้งสาลี
523,น้ำส้มคั้น
524,ซอสน้ำมันหอย
525,น้ำมันพืช 
526,หัวปลี
527,น้ำตาลแดง
528,น้ำมันพืชสำหรับผัก
529,ข้าวคั่ว
530,มันหมู
531,น้ำมันพืชสำหรับผัด
532,พริกหวานสีเขียวสีแดงสีเหลือง
533,ข้าวหอมมะลิ
534,ถัวลันเตา
535,กะทิ
536,โสมเกาหลี
537,งาดำคั่ว
538,หอมหัวใหญ่  
539,หมู
540,น้ำมันพืช
541,แป้งสาคู
542,หมีลวก
543,หัวกะทิคั้นสด
544,ฟักทอง
545,เส้นหมี่โคราช
546,คื้นฉ่าย
547,เนื้อปลาทูน่ากระป๋อง
548,พริกแห้งป่น
549,ดอกเก๊กฮวยแห้ง
550,หัวมันสัมปะหลัง
551,ยอดผักหวาน
552,น้ำจิ้มโดยประกอ้วย
553,เนื้อแอบเปิล
554,ซอสจิ๊กโฉ่
555,เนื้อปลากรายขูด
556,พริกแกง
557,หนวดปลาหมึก
558,น้ำเปล่าต้มสุก
559,ไข่เป็ด  
560,เนื้อปลากด
561,ฟักเขียว
562,ซอสkatakuriko
563,ข่า 
564,พริกสด
565,ต้นหอม
566,ส้ม
567,ไตปลา
568,พริกแกงคั่วเจ
569,งาดำ
570,กระเทียมดอง
571,ข้าวเหนียวมูน
572,ซีอิ๊วขาวเกาหลี
573,เต้าเจี้ยว
574,ไส้หมู
575,กระเทียมเจียว
576,ใบกะเพรา
577,หมูบะช่อ
578,คึ่นช่าย
579,มาม่า
580,นํ้าปลา
581,เส้นสปาเก็ตตี้
582,ข่า อ่อน
583,ใบสะระแหน่
584,ยี่หร่า
585,น้ำตาล  
586,ขนมจีน
587,เมล่อน
588,ตับหมูสดเป็นชิ้น
589,ไส้อ่อน
590,ซอสเห็ดหอม
591,น้ำร้อน
592,ไหลบัว
593,ผงแกงกะหรี่
594,น้ำซุปกระดูกไก่
595,ถั่วเขียว
596,น้ำซุปกระดูกหมู
597,เนื้อปลาลวก
598,แป้งข้าวโพด
599,กระดูกวัวส่วนสันหลัง
600,น้ำจิ้มไก่แม่ประนอม
601,น้ำมันมะกอก
602,พริกเหลือง
603,เครื่องเคียง
604,ซอสมะเขือเทศ
605,น้ำซาวข้าว
606,ถั่วลงสงคั่ว
607,ไข่ไก่ 
608,ถั่วงอก
609,ซอสมิริน
610,ซีอิ๊วถั่วเหลือง  
611,คะน้า เป็นชิ้นขนาดพอดีคำ
612,ผักตำลึง
613,พริกแกงฮังเล
614,เนื้อปลาทับทิม
615,ผักกระเฉด
616,ใบกะเพรา 
617,ใบเตย
618,น้ำปูนใส
619,ใบยี่หร่า
620,ซี่โครงหมูอ่อน
621,สตอเบอรี่
622,พริกน้ำปลา
623,ซอสโชยุ
624,ดอกโสน
625,ต้นหอมท่อนยาว
626,เนื้อปลาดอรี่
627,เนื้อปลา
628,ซอสถ้่วเหลือง
629,คื่นฉ่ายเป็นท่อน
630,ปลาซิว
631,มะเฟืองสุก
632,มะนาวคั้น
633,ยีส
634,ซอนน้ำมันหอย
635,ซอสน้้ำมันหอย
636,น้ำตาลแดงประมาณ
637,ผงซุปรสหมู  
638,สีผสมอาหาร
639,ซีอิ๊วดำ
640,น้ำกระเทียมดอง
641,แผ่นปอเปี๊ยะ
642,ก้านบอน
643,พริกแห้งเม็ดใหญ่
644,น้ำมะนามเปียก
645,ข้าวญี่ปุ่นหุงสุก
646,ตีนไก่
647,กระเทียม
648,ลูกยอสุก
649,ถั่งงอก
650,ซุปกระดูกไก่
651,เกลือ  
652,ยอดผักหวานป่าอ่อน
653,ซีอิ๊วเกาหลี
654,นํ้าตาล
655,เครื่องตุ๋นยาจีน
656,เนื้อปลาช่อน
657,ใบมิ้น
658,พริกแห้งใหญ่
659,ฟักเขียวอ่อน
660,มะเขือเจ้าพระยา
661,เห็ดหูหนูแห้ง
662,ซอสปรุงรสอาหาร 
663,หัวกิทะ
664,มันฝรั่ง
665,หมูกรอบเจ
666,มะม่วง
667,ต้นคื่นฉ่าย
668,โซดา
669,หอยแครง
670,ปูอัด
671,น้ำจิ้มสุกี้
672,ปราร้า
673,ผงกาปิก้า
674,ไข่ขาว  
675,น้ำสับปะรด
676,ก๋วยเตี๋ยวเส้นใหญ่
677,กุ้ง
678,เส้นมาม่า
679,เนื้อมะม่วงสุก
680,ไม้จิ้มลูกชิ้น
681,โชยุ
682,โรสแมรี่
683,อโวคาโด
684,ต้นผักชี
685,น้ำจิ้มปอเปี๊ยะญวน
686,ซิอิ๊วดำ
687,กระเพราะหมู
688,กะปิ
689,ผักบุ้ง
690,น้ำพริกแกงเขียวหวานเจ
691,น้ำมันทอด
692,ซีอิ๊วขาว
693,เส้นบุก
694,เนื้อลูกท้อ
695,ผักหวานป่า
696,ผักบ็อคโคลี่
697,หอมแดงเจียว  
698,เส้นขนมจีน
699,น้ำปลา
700,แครอท
701,ซอสโอโคโนมิยากิ
702,มันกุ้ง
703,ผักบุ้งไทย
704,ใบกระเทียม
705,ซุปไก่
706,ดอกคำฝอยแห้ง
707,น้ำมันสำหรับทอด
708,เนื้อปลาเก๋า
709,ข้าวสาร
710,ยอดผักชะอม
711,ผงฮังเล
712,ลูกผักชี
713,ฟอสเฟต
714,เส้นกลาง
715,เห็ดมาริตา
716,ขิง
717,หมูสามชั้น
718,เส้นบะหมี่อบแห้ง
719,เปลือกลูกมะกรูดขูด
720,ซอสถ้วยเหลือง
721,ปลาซาบะ
722,กระท้อนเปรี้ยวสับ
723,น้ำปลา  
724,ใบแมงลัก
725,ระกำ
726,หอมแดงซอย  
727,มะนาว
728,แป้งสาลี
729,น้ำตาลปีบ
730,น้ำดอกมะลิ
731,พริกหยวก
732,มะแขว่น
733,ไวน์แดง
734,ดอกมะขามอ่อน
735,เบคอน
736,หมูยอดิบ
737,พริกหยวกเขียว
738,ยอดผักคะน้า       
739,พริกชี้ฟ้าแดง
740,น้ำมันสำหรับทอดหมู
741,ถั่วลันเตา
742,เนย
743,น้ำ
744,มันฟรั่ง
745,ข้าวสารเจ้า
746,น้ำขิง
747,ดอกแค
748,สาเก
749,หูหมู
750,น้ำมะขามเปี๊ยก
751,น้ำจิ้มแจ่ว
752,เนื้อเป็ด
753,น้ำตาลปี๊ป
754,หมูกรอบ
755,ถั่วลิสง
756,น้ำปลาสำหรับปรุงน้ำยำ
757,เห็ดหลินจือ
758,น้ำต้มสุก
759,ผักชีลาว
760,มะเขือยาว
761,หัวน้ำปลา
762,ซอสฮอยซิน
763,ปู
764,เกลือ
765,ชีส
766,ซีอิ้วดำ
767,ข้าวเหนียวเคี้ยวงู
768,หมูและเครื่องในหมู
769,มันเทศสีม่วง
770,มะเขือเทศราชินี
771,ข้าวสวย
772,น้ำมันสำหรับทอดและผัด
773,น้ำกะทิคั้นสด
774,มะเขือ
775,ซอสมะขามเปียก
776,แป้งข้าวเหนียว
777,เนื้อปลาดุก
778,ทับทิม
779,บวบ
780,ใบกุยช่ายขาว
781,น้ำซุปกระดุกหมู
782,หอมแดง 
783,ขิงแก่
784,มะตูมแห้ง
785,ผักติ้ว
786,ซอสพริกสำหรับทานกับไข่เจียว
787,มะพร้าวขูด
788,ถั่วฝักยาว
789,เปลือกพริกแผ้ง
790,น้ำพริกน้ำปลา
791,แครอต
792,น้ำจิ้มสำหรับทานกับไก่ทอด
793,พริกไทยป่น
794,หนังหมู
795,ซอสพริก 
796,พริกแกงพะแนง
797,น้ำพริกแกงป่า
798,งาขาวคั่ว
799,พริกไทย 
800,ซอสถั่วเปลือง
801,ผักชีฝรั่ง
